fileurl,name,website,author
https://malsilo.gitlab.io/feeds/dumps/url_list.txt,,,
http://www.botvrij.eu/data/ioclist.domain.raw,Botvrij.eu - domains,http://botvrij.eu/,Botvrij.eu
https://zerodot1.gitlab.io/CoinBlockerLists/list.txt,CoinBlocker Domains,https://zerodot1.gitlab.io/CoinBlockerListsWeb/,ZeroDot1
http://reputation.alienvault.com/reputation.data,Alienvault IP Reputation,https://www.alienvault.com/,AlienVault
https://www.badips.com/get/list/any/2,Bad IPs,https://www.badips.com/,badIPs
https://gist.githubusercontent.com/BBcan177/4a8bf37c131be4803cb2/raw,BBcan177 DNSBL,http://pfblockerng.com,BBcan177
https://gist.githubusercontent.com/BBcan177/bf29d47ea04391cb3eb0/raw/,BBcan177 Malicious IPs,http://pfblockerng.com,BBcan177
https://lists.blocklist.de/lists/all.txt,Blocklist.de Blocklist,http://www.blocklist.de/en/index.html,Blocklist.de
http://www.botvrij.eu/data/ioclist.hostname.raw,Botvrij.eu - hostnames,http://botvrij.eu/,Botvrij.eu
http://www.botvrij.eu/data/ioclist.ip-dst.raw,Botvrij.eu - ips,,Botvrij.eu
http://www.botvrij.eu/data/ioclist.url.raw,Botvrij.eu - urls,http://botvrij.eu/,Botvrij.eu
http://danger.rulez.sk/projects/bruteforceblocker/blist.php,Brute Force Blocker,http://danger.rulez.sk/,Daniel Gerzo
http://osint.bambenekconsulting.com/feeds/c2-dommasterlist.txt,C&C Domains,http://www.bambenekconsulting.com/,Bambenek Consulting
https://faf.bambenekconsulting.com/feeds/dga/c2-dommasterlist.txt,C&C Domains,http://www.bambenekconsulting.com/,Bambenek Consulting
http://osint.bambenekconsulting.com/feeds/c2-ipmasterlist.txt,C&C IPs,http://www.bambenekconsulting.com/,Bambenek Consulting
https://faf.bambenekconsulting.com/feeds/dga/c2-ipmasterlist.txt,C&C IPs,http://www.bambenekconsulting.com/,Bambenek Consulting
http://cinsscore.com/list/ci-badguys.txt,CI Bad Guys,http://cinsscore.com/,cinsscore.com
https://rules.emergingthreats.net/blockrules/compromised-ips.txt,Compromised IPs,,Emerging Threats
